platform,kategori_utama,sub_kategori,judul_listing,harga,durasi_hari,jumlah_bid,skills,url_listing,budget_raw,accepted_budget_raw,durasi_raw,deskripsi,tipe
projects.co.id,Web dan Pemrograman,Website Development,Dibutuhkan yang berpengalaman membuat Prompt untuk Gambar dan Video,1250000,7,12.0,"Video Production, Writing, Machine Learning, Artificial Intelligence",https://projects.co.id/public/browse_projects/view/94391d/dibutuhkan-yang-berpengalaman-membuat-prompt-untuk-gambar-dan-video,"Rp 1,000,000 - 1,500,000",,7 hari,"Dibutuhkan yang berpengalaman membuat Prompt untuk Video Singkat dan Gambar, dan juga bisa menganalisa Prompt dari sebuah Gambar atau Video Singkat.  Lampirkan contoh Gambar atau Video Singkat yang dibuat dengan Promptnya, atau sebaliknya Prompt dari sebuah Gambar atau Video Singkat.  membuat dan menganalisa prompt 120 gambar dan video singkat per-minggu. Video ProductionWritingMachine LearningArt",active
projects.co.id,Web dan Pemrograman,Website Development,[TURUN HARGA] DICARI akun Google developer Console (GODEV) Tahun 2023 kebawah.,7000000,7,1.0,"Accounting, 3D Animation, 3D Architecture, 3D Modelling, 3ds Max, ActionScript, 3D Rendering, 3D Render Artlantis, 3D Printing, AAA Logo",https://projects.co.id/public/browse_projects/view/e3381d/turun-harga-dicari-akun-google-developer-console-godev-tahun-2023-kebawah,"Rp 2,000,000 - 12,000,000",,7 hari,Dicari Akun Google Play Console Developer GODEV Bekas yang sudah tidak terurus berisi app aktif maupun tidak aktif.      Kebutuhan 1xx Account Google Developer  Max tahun November 2023 ( makin tua makin baik )    Berisi app minimal 1 yang live   Jika ada suspend app masih bisa ditawarkan(harga tidak bisa tinggi)  Tidak ada history Transfer APP(Jika ada boleh di tawarkan tetapi harga tidak bisa tin,active
projects.co.id,Web dan Pemrograman,Website Development,Butuh desain company profile,350000,7,27.0,"Graphic Design, Web Design",https://projects.co.id/public/browse_projects/view/76391d/butuh-desain-company-profile,"Rp 200,000 - 500,000",,7 hari,"Halo saya perlu design grafis untuk mendesain company profile yang elegan, modern untuk perusahaan tech,  mohon bid dengan melampirkan project serupa. terimakasih Graphic DesignWeb Design",active
projects.co.id,Web dan Pemrograman,Website Development,Dibeli Akun Google Development (GODEV),8500000,30,2.0,Google Cloud Developer,https://projects.co.id/public/browse_projects/view/a2321d/dibeli-akun-google-development-godev,"Rp 7,000,000 - 10,000,000",,30 hari,"Lagi Cari Akun Tahun 2023 Kebawah 1. Google Development (GODEV) yang aktif, closed, unverified 2. Sudah pernah publish 1 app ke production 3. Status app boleh production, removed by google, suspended by google Screenshoot untuk lanjut transaksi :  1. Payment $25 2. Detail Akun 3. Email isi iarc Google Cloud Developer",active
projects.co.id,Web dan Pemrograman,Website Development,WTB/Dibeli akun adsense 2015 - 2021 minimal PO 20x support CSE/penelusuran sepaket dengan blog,35000000,120,5.0,Google Adsense,https://projects.co.id/public/browse_projects/view/a3311d/wtbdibeli-akun-adsense-2015-2021-minimal-po-20x-support-csepenelusuran-sepaket-dengan-blog,"Rp 15,000,000 - 55,000,000",,120 hari,"WTB/Dibeli  akun adsense 2015 - 2021 dengan dashboard IDR/Rupiah  minimal PO 20x support CSE/penelusuran sepaket blog, tidak kena paid + proxy.     Wajib muncul sponsored, budget 15jt-55jt, budget bisa     melar jika web bagus.  Atau kalau ada blog bertraffik 200-300 uv/day boleh tawarkan.     PM detail & harganya. Terimakasih! Google Adsense",active
projects.co.id,Web dan Pemrograman,Website Development,Bad site link,275000,1,14.0,Search Engine Optimization (SEO),https://projects.co.id/public/browse_projects/view/7c391d/bad-site-link,"Rp 200,000 - 350,000",,1 hari,"saya searc astro kabinet,muncul sitelink yang tidak di inginkan yaitu :     factory, about us, kontak kami, toko, toko - page 3, lemari locker    Link2 ini isinya tidak ada    Ada solusi agar bisa mengontrol apa yang ditampilkan di google search? Search Engine Optimization (SEO)",active
projects.co.id,Web dan Pemrograman,Website Development,Dibutuhkan Penyebar Kuesioner Penelitian Online - VR Desa Wisata,650000,7,9.0,"Data Entry, Web Research, Quesioner, Responden",https://projects.co.id/public/browse_projects/view/70391d/dibutuhkan-penyebar-kuesioner-penelitian-online-vr-desa-wisata,"Rp 600,000 - 700,000",,7 hari,"Saya mencari penyebar kuesioner online yang jujur yang tinggal di Jawa Tengah dan Jawa Barat. Responden yang saya butuhkan berjumlah minimal 200 orang tinggal di sekitar Jawa Tengah dan Jawa Barat.  Pelamar yang tidak memasang foto jelas tidak akan direspon.   Penelitian saya: ""  Survei Transformasi Pembelajaran Masyarakat Desa Wisata melalui Virtual Reality  ""     Syarat responden untuk penelitia",active
projects.co.id,Web dan Pemrograman,Website Development,Dibutuhkan Penyebar Kuesioner Penelitian Online - Rotan Gamifikasi,650000,7,1.0,"Data Entry, Web Research, Quesioner, Responden",https://projects.co.id/public/browse_projects/view/6d391d/dibutuhkan-penyebar-kuesioner-penelitian-online-rotan-gamifikasi,"Rp 600,000 - 700,000",,7 hari,"Saya mencari penyebar kuesioner online yang jujur yang tinggal di Jawa Tengah dan Jawa Barat. Responden yang saya butuhkan berjumlah minimal 200 orang tinggal di sekitar Jawa Tengah dan Jawa Barat.  Pelamar yang tidak memasang foto jelas tidak akan direspon.  Penelitian saya: "" Survei Peran Gamifikasi dalam Meningkatkan Motivasi dan Self-Efficacy Pengrajin Rotan ""    Syarat responden untuk penelit",active
projects.co.id,Web dan Pemrograman,Website Development,"Optimasi on-page SEO (keyword, meta tag, heading, internal link)",1000000,30,18.0,Search Engine Optimization (SEO),https://projects.co.id/public/browse_projects/view/64391d/optimasi-on-page-seo-keyword-meta-tag-heading-internal-link,"Rp 1,000,000 - 1,000,000",,30 hari,"Melakukan   SEO audit   pada website      Optimasi  on-page SEO  (keyword, meta tag, heading, internal link)  Riset dan implementasi  keyword strategy   Memberikan rekomendasi  technical SEO     Meningkatkan  ranking keyword  dan traffic organik Search Engine Optimization (SEO)",active
projects.co.id,Web dan Pemrograman,Website Development,TAWARKAN SEKARANG akun Google developer Console (GODEV) Tahun 2023 kebawah!,9000000,7,2.0,"Accounting, 3D Modelling, 3ds Max, .NET Micro Framework, ActionScript, ActiveDirectory, 3D Rendering, 3D Render Artlantis, 3D Printing, AAA Logo",https://projects.co.id/public/browse_projects/view/3d341d/tawarkan-sekarang-akun-google-developer-console-godev-tahun-2023-kebawah,"Rp 3,000,000 - 15,000,000",,7 hari,Dicari Akun Google Play Console Developer GODEV Bekas yang sudah tidak terurus berisi app aktif maupun tidak aktif.         Kebutuhan 1xx Account Google Developer  Max tahun November 2023 ( makin tua makin baik )    Berisi app minimal 1 yang live   Jika ada suspend app masih bisa ditawarkan(harga tidak bisa tinggi)   Dibeli beserta akun email utamanya  Akun wajib sudah terverifikasi Identitas/Id c,active
projects.co.id,Web dan Pemrograman,Website Development,? DIbeli  Akun Playconsole - Google developer/Godev Tahun 2023 -2023 kebawah?,11500000,7,5.0,"Mobile Programming, JavaScript, PHP, Django Framework, Laravel Framework, AngularJS, Android studio, Flutter",https://projects.co.id/public/browse_projects/view/84291d/g-dibeli-akun-playconsole-google-developergodev-tahun-2023-2023-kebawahg,"Rp 8,000,000 - 15,000,000",,7 hari,"Rekan-rekan developer.  saya mencari akun Google Play Console atau Godev , keadaan aktif atau closed krn tidak aktif  umur akun tahun 2023 atau dibawah 2023 sduah pernah publish apss diplaystore, akun siap untuk dijual beserta gmail utamanya  penjual wajib mengikuti persyaratan jual beli     Transaksi dilakukan full di Projects.co.id    transaksi selesai 7 hari setelah pergantian email, dan telp p",active
projects.co.id,Web dan Pemrograman,Website Development,Buatkan conten promosi untuk media sosial perhari 10 untuk 1 bulan,8000000,31,22.0,Sales and Marketing,https://projects.co.id/public/browse_projects/view/5b391d/buatkan-conten-promosi-untuk-media-sosial-perhari-10-untuk-1-bulan,"Rp 6,000,000 - 10,000,000",,31 hari,"Tugas utama: Mempelajari aplikasi secara langsung, memahami fitur dan alur penggunaan, lalu membuat konten promosi harian untuk media sosial.  Jenis konten yang dibuat: • tips penggunaan aplikasi • cara daftar akun • cara menjalankan task • cara mendapatkan penghasilan • info fitur aplikasi • tutorial singkat • edukasi pengguna baru • konten promosi yang menarik dan mudah dipahami  Target konten: ",active
projects.co.id,Web dan Pemrograman,Website Development,Master Naskah Quran,8500000,90,5.0,"Microsoft Office Publisher, Arabian, Adobe Indesign",https://projects.co.id/public/browse_projects/view/58391d/master-naskah-quran,"Rp 7,000,000 - 10,000,000",,90 hari,"Kami membuka kesempatan untuk membuat  Master Naskah Qur’an  untuk pengerjaan:  
 
Qur’an Original (Arab saja)
 
 
Qur’an Terjemahan
 
 
Format Mushaf Utsmani 15 Baris
 
  Kualifikasi:  
 
Memahami penulisan Mushaf Utsmani
 
 
Teliti dan detail terhadap harakat, tanda baca, waqaf, dan layout ayat
 
 
Berpengalaman dalam editing/layout naskah Al-Qur’an menjadi nilai plus
 
 
Mampu menggunakan softw",active
projects.co.id,Web dan Pemrograman,Website Development,Mystery Shopper atau Mystery Shopping Freelance,250000,20,6.0,"Business Analysis, Business Service, Sales and Marketing, Market Research, Personal Assistant, Administration, Microsoft Word, Microsoft Excel, Data Analysis, Responden",https://projects.co.id/public/browse_projects/view/1a381d/mystery-shopper-atau-mystery-shopping-freelance,"Rp 200,000 - 300,000",,20 hari,Kami sedang mencari tim Mystery Shopper dengan tugas: 1. Membeli produk. 2. Melakukan transaksi sesuai panduan serta mengisi kuesioner. 3. Memberikan laporan atau umpan balik terperinci tentang hasil kunjungan.  Dengan persyaratan:            1    Usia dewasa (18 - 35 tahun)      2    Menyukai Makanan Snack Pedas      3    Domisili sesuai dengan Area:     Jakarta     Depok    Tangerang Selatan    ,active
projects.co.id,Web dan Pemrograman,Website Development,SALES FREELANCE,750000,7,9.0,"Internet Marketing, Affiliate Marketing, Email Marketing, Social Media Marketing (SMM), Sales and Marketing, Market Research, Marketing Strategy, Telemarketing",https://projects.co.id/public/browse_projects/view/4f391d/sales-freelance,"Rp 500,000 - 1,000,000",,7 hari,"Bagaimana mempromosikan produk/jasa digital IT (ERP, CRM, POS, dan lainnya) kepada masyarakat luas. Internet MarketingAffiliate MarketingEmail MarketingSocial Media Marketing (SMM)Sales and MarketingMarket ResearchMarketing StrategyTelemarketing",active
projects.co.id,Web dan Pemrograman,Mobile Programming,� Saya Membutuhkan Akun Playconsole - Google developer/Godev Tahun 2023 -2023 kebawah�,14000000,7,9.0,"Programming, Mobile Programming, Web Programming, Drupal, Wordpress, Java Native, Android studio, Flutter",https://projects.co.id/public/browse_projects/view/40281d/a-saya-membutuhkan-akun-playconsole-google-developergodev-tahun-2023-2023-kebawaha,"Rp 10,000,000 - 18,000,000",,7 hari,"saya Mencari akun Google Play Console atau Godev , keadaan aktif atau closed krn tidak aktif  umur akun tahun 2023 atau dibawah 2023, akun siap untuk dijual beserta gmail utamanya  penjual wajib mengikuti persyaratan jual beli     Transaksi dilakukan full di Projects.co.id    transaksi selesai 7 hari setelah pergantian email, dan telp pemulihan dan password   yang di jual adalah akun email yang se",active
projects.co.id,Web dan Pemrograman,Mobile Programming,� DIbeli  Akun Playconsole - Google developer/Godev Tahun 2023 -2023 kebawah�,11500000,7,5.0,"Mobile Programming, JavaScript, PHP, Django Framework, Laravel Framework, AngularJS, Android studio, Flutter",https://projects.co.id/public/browse_projects/view/84291d/a-dibeli-akun-playconsole-google-developergodev-tahun-2023-2023-kebawaha,"Rp 8,000,000 - 15,000,000",,7 hari,"Rekan-rekan developer.  saya mencari akun Google Play Console atau Godev , keadaan aktif atau closed krn tidak aktif  umur akun tahun 2023 atau dibawah 2023 sduah pernah publish apss diplaystore, akun siap untuk dijual beserta gmail utamanya  penjual wajib mengikuti persyaratan jual beli     Transaksi dilakukan full di Projects.co.id    transaksi selesai 7 hari setelah pergantian email, dan telp p",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Pembuatan website pakai wordpress,3250000,14,104.0,"Wordpress, Wordpress Templates",https://projects.co.id/public/browse_projects/view/17381d/pembuatan-website-pakai-wordpress,"Rp 1,500,000 - 5,000,000",,14 hari,Scope : redesign website pkc.co.id  Platform : wordpress.  Style : look and feel mengikuti compro  Menu : sesuai compro.  Target : 2 minggu  Proposa dan penawaran harga dikirimkan. WordpressWordpress Templates,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Reverse engineering,3500000,7,5.0,"Unreal Engine, Bridge Engineering Structure",https://projects.co.id/public/browse_projects/view/04391d/reverse-engineering,"Rp 2,000,000 - 5,000,000",,7 hari,di cari yang bisa reverse engineering untuk membuat bot game     diutamakan jogja agar komunikasi lancar Unreal EngineBridge Engineering Structure,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Online Order Form Integrasi Dengan Whatsapp,2250000,7,65.0,Order Processing,https://projects.co.id/public/browse_projects/view/bf381d/online-order-form-integrasi-dengan-whatsapp,"Rp 1,500,000 - 3,000,000",,7 hari,"Kami sedang mencari  jasa pembuatan online order form  dengan kebutuhan sebagai berikut:  
 
Formulir harus dapat  terintegrasi langsung dengan WhatsApp  (misalnya hasil input otomatis terkirim ke nomor/admin WhatsApp).
 
 
Desain dan struktur form perlu  mengikuti format formulir order fisik yang sudah ada  (custom, bukan template standar).
 
 
Mendukung field yang cukup kompleks (opsi produk, ku",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,[Relist] Membuat Website Spesifikasi Ponsel,2250000,30,113.0,"JavaScript, PHP, Web Design, Web Scrapping",https://projects.co.id/public/browse_projects/view/242f1d/relist-membuat-website-spesifikasi-ponsel,"Rp 1,500,000 - 3,000,000",,30 hari,"Hi Freelancer,  Kali ini saya perlu bantuan anda untuk pembuatan web spesifikasi ponsel.  Referensi: https://www.gsmarena.com/  Tidak perlu fitur blog. Ada page untuk term and use, privacy, contact us Ada banner image/code adsense untuk iklan, sehingga perlu space di webnya Ada popup cookie policy, biasa adsense mensyaratkan itu.   Tech stack  Leaf MVC,  https://leafphp.dev/docs/mvc/ . G populer, ",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,perbaikan eror login web laravel,200000,7,83.0,"Web Research, Web Programming, Website, Web Design, Website Building, Website Templates, Web Scrapping",https://projects.co.id/public/browse_projects/view/a4381d/perbaikan-eror-login-web-laravel,"Rp 100,001 - 300,000",,7 hari,saya perlu di bantu perbaikan minor login registrasi web laravel Web ResearchWeb ProgrammingWebsiteWeb DesignWebsite BuildingWebsite TemplatesWeb Scrapping,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Remote dev untuk backend mobile app,3000000,60,42.0,NodeJS,https://projects.co.id/public/browse_projects/view/1d381d/remote-dev-untuk-backend-mobile-app,"Rp 2,000,000 - 4,000,000",,60 hari,"Halo,  Saya sedang membutuhkan backend developer untuk develop aplikasi dari 0 dengan tech stack NodeJs + NestJs. Adapun aplikasi yang di develop core nya attendance, leave, update work progress, loan, payslip. Timeline project ini 1-2 bulan max, jadi dibutuhkan developer yg komitmen.  Scope:  1. Berhubung database sudah ada, palingan adjustment yg diperlukan untuk mobile app. Ajukan ERD yg dibutu",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Dibutuhkan backend developer,2600000,30,56.0,Laravel Framework,https://projects.co.id/public/browse_projects/view/0b381d/dibutuhkan-backend-developer,"Rp 2,000,000 - 3,200,000",,30 hari,"Dibutuhkan backend developer dengan tech stack Laravel 12/13 menguasai SOLID principle untuk mengerjakan API mobile dimana aplikasi yg di develop HRIS untuk module absensi, event, notification, employee points, cek payslip, kasbon.  Scope nya:     Membuat api yang dibutuhkan untuk mobile. Arsitektur database sudah ada (boleh diskusi untuk revisi).  Endpoint yang dibuat sudah include unit testing &",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Pembuatan website sekolah,2000000,28,171.0,Wordpress,https://projects.co.id/public/browse_projects/view/fc371d/pembuatan-website-sekolah,"Rp 1,000,000 - 3,000,000",,28 hari,"Tinggal pakai,admin tinggal login dan posting,sudah include domain-hosting Wordpress",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Pembuatan beberapa halaman DEX berbasis webapp sebagai mockup,750000,1,27.0,Android,https://projects.co.id/public/browse_projects/view/02381d/pembuatan-beberapa-halaman-dex-berbasis-webapp-sebagai-mockup,"Rp 500,000 - 1,000,000",,1 hari,Seperti titel. Perlu di kerjakan dalam sehari  Pembuatan beberapa halaman DEX wallet berbasis webapp sebagai mockup  Perlu bisa di akses layaknya sebagai android app dan akan di buat menyerupai DEX wallet tertentu Android,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Developed Organization & Job Attributed Fitur (Laravel & SQL Server),750000,7,42.0,"PHP, Laravel Framework, SQL Server, ReactJS",https://projects.co.id/public/browse_projects/view/c3371d/developed-organization-amp-job-attributed-fitur-laravel-amp-sql-server,"Rp 500,000 - 1,000,000",,7 hari,"Untuk pengembangan fitur  Organization & Job Design .  Adapun ruang lingkup pekerjaan meliputi:   Pengembangan  Organization & Job Attribute (Data Master) , mencakup:  Organization  Position  Job Level  Location  Employee Status  Additional Group    Pengembangan backend system menggunakan  PHP Laravel   Pengelolaan database menggunakan  SQL Server   Implementasi UI menggunakan  Metronic Template  ",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,"Pendaftaran & Mengerjakan 1x Tes Kualifikasi Coding Online (Durasi 1,5 Jam)",150000,31,8.0,"Programming, Data Science",https://projects.co.id/public/browse_projects/view/ba371d/pendaftaran-amp-mengerjakan-1x-tes-kualifikasi-coding-online-durasi-15-jam,"Rp 125,000 - 175,000",,31 hari,Halo rekan-rekan freelancer projects.co.id!    Saya membutuhkan jasa 1 orang  Senior Programmer/Coder  berpengalaman untuk melakukan registrasi dan menyelesaikan  1 (satu) buah tes kualifikasi (Assessment Test)  di suatu perusahaan luar negeri. Pendaftaran wajib dilakukan melalui link undangan yang akan saya berikan kepada  worker  terpilih.      1. To do   Pekerjaan ini hanya dilakukan 1x (satu k,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Pengembangan Website,3000000,30,144.0,"Data Entry, Web Research, Database Programming, Web Programming, Website, Web Design, Website Building, Website Templates, Laravel Framework, Web Scrapping",https://projects.co.id/public/browse_projects/view/49361d/pengembangan-website,"Rp 2,000,000 - 4,000,000",,30 hari,Pekerjaan     Membuat Halaman Homepage Hingga Pembayaran Produk (UI UX Modern & Mobile Friendly)      Integrasi   Terintegrasi Dengan Backend Existing (Inventory Stock)  Terintegrasi Dengan Payment Gateway + Cek Ongkir Otomatis   Fitur Utama    Produk Ready : Bisa lansgung cekout  Produk Preorder : Preorder dari Catalog (Proses 7-15 Hari) Seperti Marketplace Sistem PO  Website harus terintegrasi d,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Dibutuhkan Frontend Dev,1250000,7,54.0,"ReactJS, VueJS",https://projects.co.id/public/browse_projects/view/27371d/dibutuhkan-frontend-dev,"Rp 1,000,000 - 1,500,000",,7 hari,"Halo,  saya sedang membutuhkan frontend developer yang menguasai tech stack vuejs 3 dan nextjs untuk task optimisation, enhancement dan mengerjakan fitur baru juga. Pekerjaan ini remote dengan scope sbb:  1. Optimisasi, investigasi bottleneck performance API lambat karena apa kemudian refactoring code supaya lbh mudah di maintain dan mengimplementasikan optimisasi dari sisi frontend   2. Melakukan",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,memperbaiki redirect domain,250000,7,46.0,"Web Research, Web Programming, Website, Web Design, Website Building, Website Templates, Web Scrapping",https://projects.co.id/public/browse_projects/view/f7361d/memperbaiki-redirect-domain,"Rp 200,000 - 300,000",,7 hari,saya perlu orang untuk memperbaiki redirect domain dan memindahkan sebagian data web yang masih eror Web ResearchWeb ProgrammingWebsiteWeb DesignWebsite BuildingWebsite TemplatesWeb Scrapping,active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Menaikkan Rating website wordpress dari E ke A pada gtmetrix.com,275000,7,25.0,"Wordpress, Wordpress Templates",https://projects.co.id/public/browse_projects/view/e5361d/menaikkan-rating-website-wordpress-dari-e-ke-a-pada-gtmetrixcom,"Rp 150,000 - 400,000",,7 hari,"bisa menaikkan rating web dari E ke A pada https://gtmetrix.com/ dan mengisi konten secara dengan desain kreatif , isi konten materi bebas  PEKERJAAN DINAYATAKAN SELESAI DONE JIKA RATING WEBSITE saya di GTMETRIX menjadi NILAI A dan masa load website  menjadi maksimal 2 detik WordpressWordpress Templates",active
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Python Programmer (Remote),4250000,7,41.0,"Python, Machine Learning, Artificial Intelligence",https://projects.co.id/public/browse_projects/view/9d361d/python-programmer-remote,"Rp 3,500,000 - 5,000,000",,7 hari,"Halo semuanya,  Saat ini kami sedang membutuhkan  Python Programmer (Remote)  untuk bergabung dalam tim kami secara remote. Posisi ini cocok untuk Anda yang ingin bekerja dengan jam kerja fleksibel namun tetap produktif.      Detail Pekerjaan:   Waktu kerja: 40 jam per minggu (8 jam/hari, Senin–Jumat, jam fleksibel) Tipe kerja: Remote (bisa dari mana saja)      Lingkup Kerja:      Mengembangkan da",active
